"County","Count","Population","Age Adjusted Rate per 10,000","Lower CI","Upper CI"
"State Total","2075","7472136","2.88","2.76","3.01"
"Adams","**","22310","**","**","**"
"Asotin","**","22199","**","**","**"
"Benton","57","197763","2.74","2.06","3.59"
"Chelan","16","77546","2.17 (NR)","1.22 (NR)","3.62 (NR)"
"Clallam","24","76326","3.99","2.47","6.14"
"Clark","92","483168","1.89 (NR)","1.52 (NR)","2.33 (NR)"
"Columbia","**","3797","**","**","**"
"Cowlitz","17","110568","1.63 (NR)","0.92 (NR)","2.71 (NR)"
"Douglas","**","40272","**","**","**"
"Ferry","**","6046","**","**","**"
"Franklin","27","91856","3.12","2.02","4.73"
"Garfield","0","2262","0 (NR)","0 (NR)","0 (NR)"
"Grant","26","95561","2.72","1.77","4.07"
"Grays Harbor","43","76947","5.97","4.26","8.18"
"Island","**","84925","**","**","**"
"Jefferson","10","30959","4.96 (NR)","2.15 (NR)","9.98 (NR)"
"King","677","2210243","3.35","3.1","3.61"
"Kitsap","46","269762","1.92","1.4","2.58"
"Kittitas","**","44264","**","**","**"
"Klickitat","**","22482","**","**","**"
"Lewis","22","81015","2.94","1.82","4.56"
"Lincoln","**","11130","**","**","**"
"Mason","**","62461","**","**","**"
"Okanogan","12","42718","2.7 (NR)","1.34 (NR)","5.01 (NR)"
"Pacific","**","22187","**","**","**"
"Pend Oreille","**","12449","**","**","**"
"Pierce","302","879921","3.53","3.14","3.96"
"San Juan","**","17025","**","**","**"
"Skagit","30","127433","2.54","1.69","3.69"
"Skamania","**","7865","**","**","**"
"Snohomish","308","800682","3.91","3.48","4.38"
"Spokane","100","519268","1.97","1.6","2.42"
"Stevens","10","48832","2.4 (NR)","1.1 (NR)","4.66 (NR)"
"Thurston","85","283568","3.18","2.53","3.95"
"Wahkiakum","**","4069","**","**","**"
"Walla Walla","11","61926","2 (NR)","0.97 (NR)","3.71 (NR)"
"Whatcom","38","217960","1.78","1.25","2.48"
"Whitman","**","47392","**","**","**"
"Yakima","65","254979","2.5","1.92","3.22"


"Asthma Hospitalizations:  Age-Adjusted Rate per 10,000"
"Geography: County, Age Group: All (Combined), Time Period: 2018"
"Created: 6/16/2026"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
