"County","Count","Population","Age Adjusted Rate per 10,000","Lower CI","Upper CI"
"State Total","1904","7593944","2.55","2.44","2.67"
"Adams","**","22475","**","**","**"
"Asotin","**","22254","**","**","**"
"Benton","62","202101","3.05","2.33","3.93"
"Chelan","25","78071","2.86","1.8","4.39"
"Clallam","15","77229","2.2 (NR)","1.15 (NR)","3.87 (NR)"
"Clark","89","492464","1.73 (NR)","1.38 (NR)","2.14 (NR)"
"Columbia","**","3787","**","**","**"
"Cowlitz","26","112188","2.39 (NR)","1.54 (NR)","3.59 (NR)"
"Douglas","**","40876","**","**","**"
"Ferry","**","6025","**","**","**"
"Franklin","27","93981","2.87","1.86","4.37"
"Garfield","0","2286","0 (NR)","0 (NR)","0 (NR)"
"Grant","23","96669","2.39","1.5","3.66"
"Grays Harbor","18","77615","2.53","1.46","4.11"
"Island","**","86006","**","**","**"
"Jefferson","**","31332","**","**","**"
"King","549","2246750","2.57","2.36","2.8"
"Kitsap","66","272997","2.52","1.93","3.24"
"Kittitas","**","45074","**","**","**"
"Klickitat","**","22911","**","**","**"
"Lewis","20","82307","2.65","1.58","4.22"
"Lincoln","**","11270","**","**","**"
"Mason","10","63415","2 (NR)","0.94 (NR)","3.77 (NR)"
"Okanogan","**","42858","**","**","**"
"Pacific","**","22568","**","**","**"
"Pend Oreille","**","12611","**","**","**"
"Pierce","326","898011","3.63","3.24","4.06"
"San Juan","**","17396","**","**","**"
"Skagit","40","129952","3.26","2.3","4.51"
"Skamania","**","7933","**","**","**"
"Snohomish","234","813739","2.94","2.57","3.36"
"Spokane","128","528125","2.49","2.07","2.98"
"Stevens","12","49441","2.91 (NR)","1.47 (NR)","5.27 (NR)"
"Thurston","73","287961","2.68","2.09","3.39"
"Wahkiakum","0","4170","0 (NR)","0 (NR)","0 (NR)"
"Walla Walla","**","62309","**","**","**"
"Whatcom","42","222692","1.82","1.29","2.52"
"Whitman","**","48072","**","**","**"
"Yakima","46","256021","1.82","1.33","2.46"


"Asthma Hospitalizations:  Age-Adjusted Rate per 10,000"
"Geography: County, Age Group: All (Combined), Time Period: 2019"
"Created: 6/16/2026"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
