"County","# of Fires","Acres Burned","Percent Area Burned"
"State Total","51","372262","0.86"
"Adams","1","8384","0.68"
"Asotin","0","0","0"
"Benton","2","23608","2.14"
"Chelan","5","22425","1.17"
"Clallam","0","0","0"
"Clark","0","0","0"
"Columbia","0","0","0"
"Cowlitz","0","0","0"
"Douglas","6","26929","2.28"
"Ferry","2","4545","0.31"
"Franklin","1","100","0.01"
"Garfield","1","3115","0.68"
"Grant","5","33367","1.87"
"Grays Harbor","0","0","0"
"Island","0","0","0"
"Jefferson","0","0","0"
"King","3","1284","0.09"
"Kitsap","0","0","0"
"Kittitas","2","40322","2.7"
"Klickitat","1","337","0.03"
"Lewis","0","0","0"
"Lincoln","0","0","0"
"Mason","0","0","0"
"Okanogan","3","101175","2.97"
"Pacific","0","0","0"
"Pend Oreille","1","4305","0.47"
"Pierce","1","23223","2.15"
"San Juan","0","0","0"
"Skagit","1","216","0.02"
"Skamania","2","743","0.07"
"Snohomish","0","0","0"
"Spokane","0","0","0"
"Stevens","1","415","0.03"
"Thurston","0","0","0"
"Wahkiakum","0","0","0"
"Walla Walla","0","0","0"
"Whatcom","0","0","0"
"Whitman","0","0","0"
"Yakima","13","77769","2.82"


"Wildfires"
"Geography: County, Year: 2017"
"Created: 6/16/2026"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
